# Name: U8/M ATASCII
# Aliases: U8-M_ATASCII, x-u8m-atascii
# Include: C0

0x20	0x0020	# SPACE
0x56	0x0056	# LATIN CAPITAL LETTER V
0x57	0x0057	# LATIN CAPITAL LETTER W
0x58	0x0058	# LATIN CAPITAL LETTER X
0x59	0x0059	# LATIN CAPITAL LETTER Y
0x5A	0x005A	# LATIN CAPITAL LETTER Z
0x5B	0x005B	# LEFT SQUARE BRACKET
0x5C	0x005C	# REVERSE SOLIDUS
0x5D	0x005D	# RIGHT SQUARE BRACKET
0x5E	0x005E	# CIRCUMFLEX ACCENT
0x5F	0x005F	# LOW LINE
0x60	0x0060	# GRAVE ACCENT
0x61	0x0061	# LATIN SMALL LETTER A
0x62	0x0062	# LATIN SMALL LETTER B
0x63	0x0063	# LATIN SMALL LETTER C
0x64	0x0064	# LATIN SMALL LETTER D
0x65	0x0065	# LATIN SMALL LETTER E
0x66	0x0066	# LATIN SMALL LETTER F
0x67	0x0067	# LATIN SMALL LETTER G
0x68	0x0068	# LATIN SMALL LETTER H
0x69	0x0069	# LATIN SMALL LETTER I
0x6A	0x006A	# LATIN SMALL LETTER J
0x6B	0x006B	# LATIN SMALL LETTER K
0x6C	0x006C	# LATIN SMALL LETTER L
0x6D	0x006D	# LATIN SMALL LETTER M
0x6E	0x006E	# LATIN SMALL LETTER N
0x6F	0x006F	# LATIN SMALL LETTER O
0x70	0x0070	# LATIN SMALL LETTER P
0x71	0x0071	# LATIN SMALL LETTER Q
0x72	0x0072	# LATIN SMALL LETTER R
0x73	0x0073	# LATIN SMALL LETTER S
0x74	0x0074	# LATIN SMALL LETTER T
0x75	0x0075	# LATIN SMALL LETTER U
0x76	0x0076	# LATIN SMALL LETTER V
0x77	0x0077	# LATIN SMALL LETTER W
0x78	0x0078	# LATIN SMALL LETTER X
0x79	0x0079	# LATIN SMALL LETTER Y
0x7A	0x007A	# LATIN SMALL LETTER Z
0x7B	0x007B	# LEFT CURLY BRACKET
0x7C	0x007C	# VERTICAL LINE
0x7D	0x007D	# RIGHT CURLY BRACKET
0x7E	0x007E	# TILDE
0x7F	0x007F	# DELETE
0x80	0x2665	# BLACK HEART SUIT
0x81	0x251C	# BOX DRAWINGS LIGHT VERTICAL AND RIGHT
0x82	0x23B9	# RIGHT VERTICAL BOX LINE
0x83	0x2518	# BOX DRAWINGS LIGHT UP AND LEFT
0x84	0x2524	# BOX DRAWINGS LIGHT VERTICAL AND LEFT
0x85	0x2510	# BOX DRAWINGS LIGHT DOWN AND LEFT
0x86	0x2571	# BOX DRAWINGS LIGHT DIAGONAL UPPER RIGHT TO LOWER LEFT
0x87	0x2572	# BOX DRAWINGS LIGHT DIAGONAL UPPER LEFT TO LOWER RIGHT
0x88	0x25E2	# BLACK LOWER RIGHT TRIANGLE
0x89	0x2597	# QUADRANT LOWER RIGHT
0x8A	0x25E3	# BLACK LOWER LEFT TRIANGLE
0x8B	0x259D	# QUADRANT UPPER RIGHT
0x8C	0x2598	# QUADRANT UPPER LEFT
0x8D	0x23BA	# HORIZONTAL SCAN LINE-1
0x8E	0x23BD	# HORIZONTAL SCAN LINE-9
0x8F	0x2596	# QUADRANT LOWER LEFT
0x90	0x2663	# BLACK CLUB SUIT
0x91	0x250C	# BOX DRAWINGS LIGHT DOWN AND RIGHT
0x92	0x2500	# BOX DRAWINGS LIGHT HORIZONTAL
0x93	0x253C	# BOX DRAWINGS LIGHT VERTICAL AND HORIZONTAL
0x94	0x2022	# BULLET
0x95	0x2584	# LOWER HALF BLOCK
0x96	0x23B8	# LEFT VERTICAL BOX LINE
0x97	0x252C	# BOX DRAWINGS LIGHT DOWN AND HORIZONTAL
0x98	0x2534	# BOX DRAWINGS LIGHT UP AND HORIZONTAL
0x99	0x258C	# LEFT HALF BLOCK
0x9A	0x2514	# BOX DRAWINGS LIGHT UP AND RIGHT
0x9B	0x241B	# SYMBOL FOR ESCAPE
0x9C	0x2191	# UPWARDS ARROW
0x9D	0x2193	# DOWNWARDS ARROW
0x9E	0x2190	# LEFTWARDS ARROW
0x9F	0x2192	# RIGHTWARDS ARROW
0xA0	0x2666	# BLACK DIAMOND SUIT
0xA1	0x0061	# LATIN SMALL LETTER A
0xA2	0x0062	# LATIN SMALL LETTER B
0xA3	0x0063	# LATIN SMALL LETTER C
0xA4	0x0064	# LATIN SMALL LETTER D
0xA5	0x0065	# LATIN SMALL LETTER E
0xA6	0x0066	# LATIN SMALL LETTER F
0xA7	0x0067	# LATIN SMALL LETTER G
0xA8	0x0068	# LATIN SMALL LETTER H
0xA9	0x0069	# LATIN SMALL LETTER I
0xAA	0x006A	# LATIN SMALL LETTER J
0xAB	0x006B	# LATIN SMALL LETTER K
0xAC	0x006C	# LATIN SMALL LETTER L
0xAD	0x006D	# LATIN SMALL LETTER M
0xAE	0x006E	# LATIN SMALL LETTER N
0xAF	0x006F	# LATIN SMALL LETTER O
0xB0	0x0070	# LATIN SMALL LETTER P
0xB1	0x0071	# LATIN SMALL LETTER Q
0xB2	0x0072	# LATIN SMALL LETTER R
0xB3	0x0073	# LATIN SMALL LETTER S
0xB4	0x0074	# LATIN SMALL LETTER T
0xB5	0x0075	# LATIN SMALL LETTER U
0xB6	0x0076	# LATIN SMALL LETTER V
0xB7	0x0077	# LATIN SMALL LETTER W
0xB8	0x0078	# LATIN SMALL LETTER X
0xB9	0x0079	# LATIN SMALL LETTER Y
0xBA	0x007A	# LATIN SMALL LETTER Z
0xBB	0x2660	# BLACK SPADE SUIT
0xBC	0x007C	# VERTICAL LINE
0xBD	0x1F8B0	# ARROW POINTING UPWARDS THEN NORTH WEST
0xBE	0x25C0	# BLACK LEFT-POINTING TRIANGLE
0xBF	0x25B6	# BLACK RIGHT-POINTING TRIANGLE
0xC0	0x00E1	# LATIN SMALL LETTER A WITH ACUTE
0xC1	0x00F9	# LATIN SMALL LETTER U WITH GRAVE
0xC2	0x00D1	# LATIN CAPITAL LETTER N WITH TILDE
0xC3	0x00C9	# LATIN CAPITAL LETTER E WITH ACUTE
0xC4	0x00E7	# LATIN SMALL LETTER C WITH CEDILLA
0xC5	0x00F4	# LATIN SMALL LETTER O WITH CIRCUMFLEX
0xC6	0x00F2	# LATIN SMALL LETTER O WITH GRAVE
0xC7	0x00EC	# LATIN SMALL LETTER I WITH GRAVE
0xC8	0x00A3	# POUND SIGN
0xC9	0x00EF	# LATIN SMALL LETTER I WITH DIAERESIS
0xCA	0x00FC	# LATIN SMALL LETTER U WITH DIAERESIS
0xCB	0x00E4	# LATIN SMALL LETTER A WITH DIAERESIS
0xCC	0x00D6	# LATIN CAPITAL LETTER O WITH DIAERESIS
0xCD	0x00FA	# LATIN SMALL LETTER U WITH ACUTE
0xCE	0x00F3	# LATIN SMALL LETTER O WITH ACUTE
0xCF	0x00F6	# LATIN SMALL LETTER O WITH DIAERESIS
0xD0	0x00DC	# LATIN CAPITAL LETTER U WITH DIAERESIS
0xD1	0x00E2	# LATIN SMALL LETTER A WITH CIRCUMFLEX
0xD2	0x00FB	# LATIN SMALL LETTER U WITH CIRCUMFLEX
0xD3	0x00EE	# LATIN SMALL LETTER I WITH CIRCUMFLEX
0xD4	0x00E9	# LATIN SMALL LETTER E WITH ACUTE
0xD5	0x00E8	# LATIN SMALL LETTER E WITH GRAVE
0xD6	0x00F1	# LATIN SMALL LETTER N WITH TILDE
0xD7	0x00EA	# LATIN SMALL LETTER E WITH CIRCUMFLEX
0xD8	0x00E5	# LATIN SMALL LETTER A WITH RING ABOVE
0xD9	0x00E0	# LATIN SMALL LETTER A WITH GRAVE
0xDA	0x00C5	# LATIN CAPITAL LETTER A WITH RING ABOVE
0xDB	0x241B	# SYMBOL FOR ESCAPE
0xDC	0x2191	# UPWARDS ARROW
0xDD	0x2193	# DOWNWARDS ARROW
0xDE	0x2190	# LEFTWARDS ARROW
0xDF	0x2192	# RIGHTWARDS ARROW
0xE0	0x00A1	# INVERTED EXCLAMATION MARK
0xE1	0x0061	# LATIN SMALL LETTER A
0xE2	0x0062	# LATIN SMALL LETTER B
0xE3	0x0063	# LATIN SMALL LETTER C
0xE4	0x0064	# LATIN SMALL LETTER D
0xE5	0x0065	# LATIN SMALL LETTER E
0xE6	0x0066	# LATIN SMALL LETTER F
0xE7	0x0067	# LATIN SMALL LETTER G
0xE8	0x0068	# LATIN SMALL LETTER H
0xE9	0x0069	# LATIN SMALL LETTER I
0xEA	0x006A	# LATIN SMALL LETTER J
0xEB	0x006B	# LATIN SMALL LETTER K
0xEC	0x006C	# LATIN SMALL LETTER L
0xED	0x006D	# LATIN SMALL LETTER M
0xEE	0x006E	# LATIN SMALL LETTER N
0xEF	0x006F	# LATIN SMALL LETTER O
0xF0	0x0070	# LATIN SMALL LETTER P
0xF1	0x0071	# LATIN SMALL LETTER Q
0xF2	0x0072	# LATIN SMALL LETTER R
0xF3	0x0073	# LATIN SMALL LETTER S
0xF4	0x0074	# LATIN SMALL LETTER T
0xF5	0x0075	# LATIN SMALL LETTER U
0xF6	0x0076	# LATIN SMALL LETTER V
0xF7	0x0077	# LATIN SMALL LETTER W
0xF8	0x0078	# LATIN SMALL LETTER X
0xF9	0x0079	# LATIN SMALL LETTER Y
0xFA	0x007A	# LATIN SMALL LETTER Z
0xFB	0x00C4	# LATIN CAPITAL LETTER A WITH DIAERESIS
0xFC	0x007C	# VERTICAL LINE
0xFD	0x1F8B0	# ARROW POINTING UPWARDS THEN NORTH WEST
0xFE	0x25C0	# BLACK LEFT-POINTING TRIANGLE
0xFF	0x25B6	# BLACK RIGHT-POINTING TRIANGLE
