# Merges both primary and alternate PETSCII character sets into
# a single character set with minimal changes in character codes.
#
# Primary $00 - $1F -> U8/M 0x00 - 0x1F (control codes)
# Primary $20 - $3F -> U8/M 0x20 - 0x3F
# Primary $40 - $5F -> U8/M 0x40 - 0x5F
# Primary $60 - $7F -> U8/M 0x60 - 0x7F
# Primary $80 - $9F -> U8/M 0x80 - 0x9F (control codes)
# Primary $A0 - $BF -> U8/M 0xA0 - 0xBF
# Primary $C0 - $DF -> U8/M 0x60 - 0x7F
# Primary $E0 - $FF -> U8/M 0xA0 - 0xBF
#
# Altern. $00 - $1F -> U8/M 0x00 - 0x1F (control codes)
# Altern. $20 - $3F -> U8/M 0x20 - 0x3F
# Altern. $40 - $5F -> U8/M 0xC0 - 0xDF except $5E -> 0x5E and $5F -> 0x5F
# Altern. $60 - $7F -> U8/M 0xE0 - 0xFF
# Altern. $80 - $9F -> U8/M 0x80 - 0x9F (control codes)
# Altern. $A0 - $BF -> U8/M 0xA0 - 0xBF except $A9 -> 0xDE and $BA -> 0xDF
# Altern. $C0 - $DF -> U8/M 0xE0 - 0xFF
# Altern. $E0 - $FF -> U8/M 0xA0 - 0xBF except $E9 -> 0xDE and $FA -> 0xDF


# Primary $20 - $3F
# Alternate $20 - $3F
0x20	0x0020	# SPACE
0x41	0x0041	# LATIN CAPITAL LETTER A
0x42	0x0042	# LATIN CAPITAL LETTER B
0x43	0x0043	# LATIN CAPITAL LETTER C
0x44	0x0044	# LATIN CAPITAL LETTER D
0x45	0x0045	# LATIN CAPITAL LETTER E
0x46	0x0046	# LATIN CAPITAL LETTER F
0x47	0x0047	# LATIN CAPITAL LETTER G
0x48	0x0048	# LATIN CAPITAL LETTER H
0x49	0x0049	# LATIN CAPITAL LETTER I
0x4A	0x004A	# LATIN CAPITAL LETTER J
0x4B	0x004B	# LATIN CAPITAL LETTER K
0x4C	0x004C	# LATIN CAPITAL LETTER L
0x4D	0x004D	# LATIN CAPITAL LETTER M
0x4E	0x004E	# LATIN CAPITAL LETTER N
0x4F	0x004F	# LATIN CAPITAL LETTER O
0x50	0x0050	# LATIN CAPITAL LETTER P
0x51	0x0051	# LATIN CAPITAL LETTER Q
0x52	0x0052	# LATIN CAPITAL LETTER R
0x53	0x0053	# LATIN CAPITAL LETTER S
0x54	0x0054	# LATIN CAPITAL LETTER T
0x55	0x0055	# LATIN CAPITAL LETTER U
0x56	0x0056	# LATIN CAPITAL LETTER V
0x57	0x0057	# LATIN CAPITAL LETTER W
0x58	0x0058	# LATIN CAPITAL LETTER X
0x59	0x0059	# LATIN CAPITAL LETTER Y
0x5A	0x005A	# LATIN CAPITAL LETTER Z
0x5B	0x005B	# LEFT SQUARE BRACKET
0x5C	0x00A3	# POUND SIGN
0x5D	0x005D	# RIGHT SQUARE BRACKET
0x5E	0x2191	# UPWARDS ARROW
0x5F	0x2190	# LEFTWARDS ARROW

# Primary $60 - $7F and $C0 - $DF
0x60	0x2500	# BOX DRAWINGS LIGHT HORIZONTAL
0x61	0x2660	# BLACK SPADE SUIT
0x62	0x1FB72	# VERTICAL ONE EIGHTH BLOCK-4
0x63	0x1FB78	# HORIZONTAL ONE EIGHTH BLOCK-4
0x64	0x1FB77	# HORIZONTAL ONE EIGHTH BLOCK-3
0x65	0x1FB76	# HORIZONTAL ONE EIGHTH BLOCK-2
0x66	0x1FB7A	# HORIZONTAL ONE EIGHTH BLOCK-6
0x67	0x1FB71	# VERTICAL ONE EIGHTH BLOCK-3
0x68	0x1FB74	# VERTICAL ONE EIGHTH BLOCK-6
0x69	0x256E	# BOX DRAWINGS LIGHT ARC DOWN AND LEFT
0x6A	0x2570	# BOX DRAWINGS LIGHT ARC UP AND RIGHT
0x6B	0x256F	# BOX DRAWINGS LIGHT ARC UP AND LEFT
0x6C	0x1FB7C	# LEFT AND LOWER ONE EIGHTH BLOCK
0x6D	0x2572	# BOX DRAWINGS LIGHT DIAGONAL UPPER LEFT TO LOWER RIGHT
0x6E	0x2571	# BOX DRAWINGS LIGHT DIAGONAL UPPER RIGHT TO LOWER LEFT
0x6F	0x1FB7D	# LEFT AND UPPER ONE EIGHTH BLOCK
0x70	0x1FB7E	# RIGHT AND UPPER ONE EIGHTH BLOCK
0x71	0x2022	# BULLET (or 0x25CF BLACK CIRCLE)
0x72	0x1FB7B	# HORIZONTAL ONE EIGHTH BLOCK-7
0x73	0x2665	# BLACK HEART SUIT
0x74	0x1FB70	# VERTICAL ONE EIGHTH BLOCK-2
0x75	0x256D	# BOX DRAWINGS LIGHT ARC DOWN AND RIGHT
0x76	0x2573	# BOX DRAWINGS LIGHT DIAGONAL CROSS
0x77	0x25CB	# WHITE CIRCLE (or 0x25E6 WHITE BULLET)
0x78	0x2663	# BLACK CLUB SUIT
0x79	0x1FB75	# VERTICAL ONE EIGHTH BLOCK-7
0x7A	0x2666	# BLACK DIAMOND SUIT
0x7B	0x253C	# BOX DRAWINGS LIGHT VERTICAL AND HORIZONTAL
0x7C	0x1FB8C	# LEFT HALF MEDIUM SHADE
0x7D	0x2502	# BOX DRAWINGS LIGHT VERTICAL
0x7E	0x03C0	# GREEK SMALL LETTER PI
0x7F	0x25E5	# BLACK UPPER RIGHT TRIANGLE

# Primary $A0 - $BF and $E0 - $FF
# Alternate $A0 - $BF and $E0 - $FF
# (except $A9/$E9 and $BA/$FA which are mapped to 0xDE and 0xDF)
0xA0	0x00A0	# NO-BREAK SPACE
0xA1	0x258C	# LEFT HALF BLOCK
0xA2	0x2584	# LOWER HALF BLOCK
0xA3	0x2594	# UPPER ONE EIGHTH BLOCK
0xA4	0x2581	# LOWER ONE EIGHTH BLOCK
0xA5	0x258F	# LEFT ONE EIGHTH BLOCK
0xA6	0x2592	# MEDIUM SHADE
0xA7	0x2595	# RIGHT ONE EIGHTH BLOCK
0xA8	0x1FB8F	# LOWER HALF MEDIUM SHADE
# This is only primary $A9/$E9; alternate $A9/$E9 is 0xDE instead.
0xA9	0x25E4	# BLACK UPPER LEFT TRIANGLE
0xAA	0x1FB87	# RIGHT ONE QUARTER BLOCK
0xAB	0x251C	# BOX DRAWINGS LIGHT VERTICAL AND RIGHT
0xAC	0x2597	# QUADRANT LOWER RIGHT
0xAD	0x2514	# BOX DRAWINGS LIGHT UP AND RIGHT
0xAE	0x2510	# BOX DRAWINGS LIGHT DOWN AND LEFT
0xAF	0x2582	# LOWER ONE QUARTER BLOCK
0xB0	0x250C	# BOX DRAWINGS LIGHT DOWN AND RIGHT
0xB1	0x2534	# BOX DRAWINGS LIGHT UP AND HORIZONTAL
0xB2	0x252C	# BOX DRAWINGS LIGHT DOWN AND HORIZONTAL
0xB3	0x2524	# BOX DRAWINGS LIGHT VERTICAL AND LEFT
0xB4	0x258E	# LEFT ONE QUARTER BLOCK
0xB5	0x258D	# LEFT THREE EIGHTHS BLOCK
0xB6	0x1FB88	# RIGHT THREE EIGHTHS BLOCK
0xB7	0x1FB82	# UPPER ONE QUARTER BLOCK
0xB8	0x1FB83	# UPPER THREE EIGHTHS BLOCK
0xB9	0x2583	# LOWER THREE EIGHTHS BLOCK
# This is only primary $BA/$FA; alternate $BA/$FA is 0xDF instead.
0xBA	0x1FB7F	# RIGHT AND LOWER ONE EIGHTH BLOCK
0xBB	0x2596	# QUADRANT LOWER LEFT
0xBC	0x259D	# QUADRANT UPPER RIGHT
0xBD	0x2518	# BOX DRAWINGS LIGHT UP AND LEFT
0xBE	0x2598	# QUADRANT UPPER LEFT
0xBF	0x259A	# QUADRANT UPPER LEFT AND LOWER RIGHT

# Alternate $40 - $5F
# (except $5E and $5F which are mapped to 0x5E and 0x5F)
0xC0	0x0040	# COMMERCIAL AT
0xC1	0x0061	# LATIN SMALL LETTER A
0xC2	0x0062	# LATIN SMALL LETTER B
0xC3	0x0063	# LATIN SMALL LETTER C
0xC4	0x0064	# LATIN SMALL LETTER D
0xC5	0x0065	# LATIN SMALL LETTER E
0xC6	0x0066	# LATIN SMALL LETTER F
0xC7	0x0067	# LATIN SMALL LETTER G
0xC8	0x0068	# LATIN SMALL LETTER H
0xC9	0x0069	# LATIN SMALL LETTER I
0xCA	0x006A	# LATIN SMALL LETTER J
0xCB	0x006B	# LATIN SMALL LETTER K
0xCC	0x006C	# LATIN SMALL LETTER L
0xCD	0x006D	# LATIN SMALL LETTER M
0xCE	0x006E	# LATIN SMALL LETTER N
0xCF	0x006F	# LATIN SMALL LETTER O
0xD0	0x0070	# LATIN SMALL LETTER P
0xD1	0x0071	# LATIN SMALL LETTER Q
0xD2	0x0072	# LATIN SMALL LETTER R
0xD3	0x0073	# LATIN SMALL LETTER S
0xD4	0x0074	# LATIN SMALL LETTER T
0xD5	0x0075	# LATIN SMALL LETTER U
0xD6	0x0076	# LATIN SMALL LETTER V
0xD7	0x0077	# LATIN SMALL LETTER W
0xD8	0x0078	# LATIN SMALL LETTER X
0xD9	0x0079	# LATIN SMALL LETTER Y
0xDA	0x007A	# LATIN SMALL LETTER Z
0xDB	0x005B	# LEFT SQUARE BRACKET
0xDC	0x00A3	# POUND SIGN
0xDD	0x005D	# RIGHT SQUARE BRACKET
# This is actually alternate $A9; alternate $5E is 0x5E instead.
0xDE	0x1FB99	# UPPER RIGHT TO LOWER LEFT FILL
# This is actually alternate $BA; alternate $5F is 0x5F instead.
0xDF	0x2713	# CHECK MARK

# Alternate $60 - $7F and $C0 - $DF
0xE0	0x2500	# BOX DRAWINGS LIGHT HORIZONTAL
0xE1	0x0041	# LATIN CAPITAL LETTER A
0xE2	0x0042	# LATIN CAPITAL LETTER B
0xE3	0x0043	# LATIN CAPITAL LETTER C
0xE4	0x0044	# LATIN CAPITAL LETTER D
0xE5	0x0045	# LATIN CAPITAL LETTER E
0xE6	0x0046	# LATIN CAPITAL LETTER F
0xE7	0x0047	# LATIN CAPITAL LETTER G
0xE8	0x0048	# LATIN CAPITAL LETTER H
0xE9	0x0049	# LATIN CAPITAL LETTER I
0xEA	0x004A	# LATIN CAPITAL LETTER J
0xEB	0x004B	# LATIN CAPITAL LETTER K
0xEC	0x004C	# LATIN CAPITAL LETTER L
0xED	0x004D	# LATIN CAPITAL LETTER M
0xEE	0x004E	# LATIN CAPITAL LETTER N
0xEF	0x004F	# LATIN CAPITAL LETTER O
0xF0	0x0050	# LATIN CAPITAL LETTER P
0xF1	0x0051	# LATIN CAPITAL LETTER Q
0xF2	0x0052	# LATIN CAPITAL LETTER R
0xF3	0x0053	# LATIN CAPITAL LETTER S
0xF4	0x0054	# LATIN CAPITAL LETTER T
0xF5	0x0055	# LATIN CAPITAL LETTER U
0xF6	0x0056	# LATIN CAPITAL LETTER V
0xF7	0x0057	# LATIN CAPITAL LETTER W
0xF8	0x0058	# LATIN CAPITAL LETTER X
0xF9	0x0059	# LATIN CAPITAL LETTER Y
0xFA	0x005A	# LATIN CAPITAL LETTER Z
0xFB	0x253C	# BOX DRAWINGS LIGHT VERTICAL AND HORIZONTAL
0xFC	0x1FB8C	# LEFT HALF MEDIUM SHADE
0xFD	0x2502	# BOX DRAWINGS LIGHT VERTICAL
0xFE	0x1FB96	# INVERSE CHECKER BOARD FILL
0xFF	0x1FB98	# UPPER LEFT TO LOWER RIGHT FILL
